icao	city	country	state	name	type	longitude	latitude	elevation
00CA	Barstow	United States	California	Goldstone (GTS) Airport	small_airport	-116.8853290	35.3547400	3038
01FL	Geneva	United States	Florida	Cedar Knoll Flying Ranch Airport	small_airport	-81.1592026	28.7819004	19
04CA	Palmdale	United States	California	Gray Butte Field	small_airport	-117.6706660	34.5666310	3020
04MS	Rolling Fork	United States	Mississippi	Nick's Flying Service Inc Airport	small_airport	-90.8366830	32.9405370	100
04NV	Sandy Valley	United States	Nevada	Kingston Ranch Airport	small_airport	-115.6650009	35.7555008	2620
05CL	Pope Valley	NULL	NULL	Pope Valley Airport	small_airport	-122.3909988	38.6106987	618
06FA	Jupiter	United States	Florida	William P Gwinn Airport	small_airport	-80.3289032	26.9083996	28
06MO	Waldron	United States	Missouri	Noahs Ark Airport	small_airport	-94.8043976	39.2305984	755
07FA	Key Largo	United States	Florida	Ocean Reef Club Airport	small_airport	-80.2748032	25.3253994	8
07MT	Glasgow	United States	Montana	Glasgow Industrial Airport	small_airport	-106.5280000	48.4211010	2762
07TE	Corpus Christi	United States	Texas	Cuddihy Field	small_airport	-97.5128020	27.7211000	39
09CL	Grass Valley	United States	California	Alta Sierra Airport	small_airport	-121.0569992	39.1138000	2275
09FA	Lake Placid	United States	Florida	Placid Lakes Airport	small_airport	-81.4131012	27.2455997	130
09TS	Marathon	NULL	NULL	Pitcock Rosillos Mountain Ranch Airport	small_airport	-103.1650009	29.4824009	3100
0AZ2	Salome	United States	Arizona	Western Sky Airport	small_airport	-113.6406250	33.7781660	1930
0C2	Hinckley	United States	Illinois	Hinckley Airport	small_airport	-88.7034000	41.7709010	760
0CA9	Shandon	United States	California	Blech Ranch Airport	small_airport	-120.3380580	35.5927970	1140
0ID2	May	United States	Idaho	Flying Joseph Ranch Airport	small_airport	-113.7730026	44.4429016	5600
0TE4	Hilltop Lakes	United States	Texas	Hilltop Lakes Airport	small_airport	-96.2152023	31.0809994	501
0TE5	Laredo	United States	Texas	Santa Maria Ranch Airport	small_airport	-99.1858978	27.4337997	516
0TE7	Stonewall	NULL	NULL	LBJ Ranch Airport	small_airport	-98.6224980	30.2518010	1515
0TX1	Granbury	United States	Texas	Pecan Plantation Airport	small_airport	-97.6762250	32.3533250	710
11II	Nineveh	United States	Indiana	Himsel Army Airfield	small_airport	-86.0298300	39.3393300	708
12NC	Atlantic	United States	North Carolina	Atlantic Field Marine Corps Outlying Field	small_airport	-76.3490290	34.8920990	20
13NC	Pollocksville	United States	North Carolina	Oak Grove Marine Corps Outlying Field	small_airport	-77.2559450	35.0250060	27
14NC	Holly Ridge	United States	North Carolina	Camp Davis Marine Corps Outlying Field	small_airport	-77.5451090	34.5164580	60
14TS	Realitos	United States	Texas	O S Wyatt Airport	small_airport	-98.6044998	27.4216995	532
15AR	Brickeys	United States	Arkansas	Taylor Airport	small_airport	-90.5452970	34.8273780	220
15FL	Lake City	United States	Florida	Cannon Creek Airpark	small_airport	-82.6678500	30.1505840	125
16X	Justin	NULL	NULL	Propwash Airport	small_airport	-97.3589020	33.0807000	800
18AZ	Carefree	United States	Arizona	Sky Ranch At Carefree Airport	small_airport	-111.8983270	33.8185360	2568
18TA	Junction	United States	Texas	West Kerr Ranch Airport	small_airport	-99.7436981	30.1362991	2330
18TE	Big Sandy	United States	Texas	Alert Field	small_airport	-95.0639038	32.5852013	390
1AZ0	Mobile	United States	Arizona	Bishop Airfield	small_airport	-112.2689970	33.1119000	1261
1CA1	McKittrick	NULL	NULL	Belridge Strip	small_airport	-119.7220300	35.4679050	575
1CD2	Platteville	United States	Colorado	Tonga Airport	small_airport	-104.7985750	40.1673770	4925
1GA0	Shellman Bluff	United States	Georgia	Eagle Neck Airport	small_airport	-81.3290024	31.6394005	10
1L4	Cal Nev Ari	United States	Nevada	Kidwell Airport	small_airport	-114.8823600	35.3055470	2605
1MS8	Shuqualak	United States	Mississippi	Columbus Air Force Base Auxiliary Field (Gunshy)	small_airport	-88.5792010	32.9401020	260
1WA6	Fall City	NULL	NULL	Fall City Airport	small_airport	-121.8639984	47.5595016	140
1XS8	Brackettville	United States	Texas	Pinon Ranch Airport	small_airport	-100.3757290	29.6338300	1640
20GA	Villa Rica	United States	Georgia	Earl L. Small Jr. Field/Stockmar Airport	small_airport	-84.8846970	33.7565002	1110
22XS	Fort Cavazos	United States	Texas	Longhorn Auxiliary Landing Strip	small_airport	-97.6666540	31.3736930	720
23XS	Fort Cavazos	NULL	NULL	Shorthorn Auxiliary Landing Strip	small_airport	-97.6728710	31.3607270	720
24CL	Corcoran	United States	California	Boswell Airport	small_airport	-119.5413920	36.0884440	205
25NC	Asheboro	United States	North Carolina	Smith Air Strip	small_airport	-79.7117680	35.6327170	560
25TA	Baytown	United States	Texas	Ferris Airport	small_airport	-94.9673996	29.8365993	35
25TS	Dalhart	United States	Texas	Miller Airfield	small_airport	-102.4174690	36.0943310	3961
27AZ	Aguila	NULL	NULL	Eagle Roost Airpark	small_airport	-113.1677950	33.9192760	2206
28TA	Freer	United States	Texas	Duval County Ranch Co Airport	small_airport	-98.7170029	27.8335991	665
29AZ	Paloma	United States	Arizona	Paloma Ranch Airport	small_airport	-112.9000020	32.9056020	737
29TX	Vernon	United States	Texas	Lockett Airport	small_airport	-99.3651080	34.0948070	1282
2CL9	Galt	United States	California	Mustang Airport	small_airport	-121.3040009	38.3344002	45
2CN4	Lost Hills	United States	California	Wonderful Pistachios & Almonds Airport	small_airport	-119.8935180	35.6646230	617
2D7	Beach City	United States	Ohio	Beach City Airport	small_airport	-81.5560989	40.6465988	984
2IG4	Oaktown	NULL	NULL	Ed-Air Airport	small_airport	-87.4998700	38.8517820	426
2OH9	Waynesville	United States	Ohio	Caesar Creek Soaring Club Gliderport	small_airport	-84.0938030	39.4767000	940
2OR1	Fossil	NULL	NULL	Big Muddy Ranch Airport	small_airport	-120.4953110	44.8286680	1641
2TA6	Fairfield	NULL	NULL	Pyramid Ranch Airport	small_airport	-96.1975021	31.8626995	362
2TA8	Encino	United States	Texas	El Coyote Ranch Airport	small_airport	-98.2220001	26.8584003	196
2TX3	Brackettville	United States	Texas	La Fonda Ranch Airport	small_airport	-100.6169968	29.2168999	1020
2TX4	Encinal	United States	Texas	Lewis Ranch Airport	small_airport	-99.3767014	27.9836006	540
2VG2	Upperville	United States	Virginia	Upperville Airport	small_airport	-77.8696976	38.9718018	551
2XA0	Crowell	NULL	NULL	Foard County Airport	small_airport	-99.7128983	33.9793015	1479
2XS3	Palestine	United States	Texas	Glad Oaks Airport	small_airport	-95.6950350	32.0198360	487
2XS5	Twin Sisters	United States	Texas	Cross Triangle Ranch Airport	small_airport	-98.4253006	30.0105000	1420
31VA	Smithfield	United States	Virginia	Aberdeen Field	small_airport	-76.5886002	37.0237999	33
36CA	Stratford	NULL	NULL	Stone Land County Airport	small_airport	-119.9860001	36.1319008	265
36WI	Holmen	NULL	NULL	Holland Air Park	small_airport	-91.2995987	44.0321999	730
38XS	Santa Elena	United States	Texas	San Rafael Ranch Airport	small_airport	-98.4793015	26.8152008	312
3B3	Sterling	United States	Massachusetts	Sterling Airport	small_airport	-71.7929000	42.4259000	459
3MO4	Portageville	United States	Missouri	Penman Airport	small_airport	-89.6283100	36.4504890	287
3OH0	New Carlisle	NULL	NULL	Andy Barnhart Memorial Airport	small_airport	-84.0134290	39.9303170	895
3TA0	Rocksprings	United States	Texas	Four Square Ranch Airport	small_airport	-100.4049988	30.0969009	2250
3TA5	Blanco	NULL	NULL	Blanco Landing Airport	small_airport	-98.3747830	30.1224670	1460
3TA6	Brackettville	NULL	NULL	Spring Ranch Airport	small_airport	-100.2529984	29.5419006	1440
3TS1	Wimberley	United States	Texas	White Wings Airport	small_airport	-98.0404968	30.0114002	1083
3XS8	Waller	NULL	NULL	Ken Ada Ranch Airport	small_airport	-95.9176430	30.1370340	250
42KY	Benton	United States	Kentucky	Pirates Cove Airport	small_airport	-88.2222977	36.7764015	380
46CN	Llano	NULL	NULL	Crystal Airport	small_airport	-117.8258980	34.4847810	3420
48Y	Pinecreek	United States	Minnesota	Piney Pinecreek Border Airport	small_airport	-95.9825974	48.9995995	1078
4AK6	Palmer	United States	Alaska	Wolf Lake Airport	small_airport	-149.2911050	61.6393110	572
4TA0	Damon	United States	Texas	Massimiliano Memorial Field	small_airport	-95.6638031	29.3554993	65
4TA6	Hunt	United States	Texas	Comanche Caves Ranch Airport	small_airport	-99.3830320	30.0233180	2000
4TE9	D'Hanis	United States	Texas	Squirrel Creek Ranch Airport	small_airport	-99.3506012	29.2640991	970
4TS8	D'Hanis	United States	Texas	Glasscock Field	small_airport	-99.3420029	29.3750000	1089
55XS	Brackettville	United States	Texas	Frontier Airport	small_airport	-100.4179990	29.1663000	1001
57AZ	Oro Valley	NULL	NULL	La Cholla Airpark	small_airport	-111.0028980	32.4466330	2940
57FA	St Cloud	United States	Florida	Lake X Airport	small_airport	-81.1192017	28.2085991	72
58CL	Borrego Springs	NULL	NULL	Borrego Air Ranch Airport	small_airport	-116.2760010	33.1917000	575
5CA7	Five Points	NULL	NULL	Agro-West Airport	small_airport	-120.2475320	36.3345380	335
5K2	Tribune	United States	Kansas	Tribune Municipal Airport	small_airport	-101.7501350	38.4509010	3620
5KY4	Elkton	NULL	NULL	Standard Field	small_airport	-87.1764280	36.8018280	665
5KY7	Albany	NULL	NULL	Spring Creek Airpark	small_airport	-85.1642710	36.6388320	991
5LS9	Zwolle	NULL	NULL	Ammons Airport	small_airport	-93.7077026	31.5316010	210
5TE0	Eagle Pass	United States	Texas	Comanche Ranch Airport	small_airport	-100.1614030	28.6273010	730
60IA	Blue Grass	NULL	NULL	Village Oaks Airport	small_airport	-90.7812920	41.4696640	732
60TE	Kerrville	United States	Texas	Tierra Linda Ranch Airport	small_airport	-99.1504200	30.1413230	1990
63XS	Henly	United States	Texas	Byram Ranch Airport	small_airport	-98.2885971	30.2241001	1120
67CA	Chowchilla	United States	California	Chapman Farms Airport	small_airport	-120.3762150	37.0724910	175
68CA	Cottonwood	United States	California	Lake California Air Park	small_airport	-122.2160034	40.3610992	615
68TS	Royse City	United States	Texas	Bishop Field	small_airport	-96.2850150	32.8744850	550
69TX	Bloomington	NULL	NULL	Green Lake Ranch Airport	small_airport	-96.8544006	28.5835991	50
6F1	Talihina	United States	Oklahoma	Talihina Municipal Airport	small_airport	-95.0737991	34.7078018	687
6NC1	Denver	United States	North Carolina	Little Mountain Airport	small_airport	-81.0804210	35.5917670	1030
6TE6	Guthrie	NULL	NULL	6666 Ranch Airport	small_airport	-100.3472650	33.6426160	1775
72CL	Desert Center	United States	California	Iron Mountain Pumping Plant Airport	small_airport	-115.1190033	34.1342010	890
72MI	Watersmeet	NULL	NULL	Northwoods Airport	small_airport	-89.2774963	46.2859001	1642
72TA	Port O'Connor	United States	Texas	Pierce Field	small_airport	-96.2919006	28.4585991	5
72TE	La Pryor	United States	Texas	Chaparrosa Ranch Airport	small_airport	-99.9906006	28.8794003	680
74TE	Walnut Springs	NULL	NULL	Flat Top Ranch Airport	small_airport	-97.7947006	32.0598984	960
75FL	Panama City	United States	Florida	Sandy Creek Airpark	small_airport	-85.4795550	30.1026630	13
75TA	Ackerly	NULL	NULL	Coleman Cattle Company Nr 1 Airport	small_airport	-101.7249985	32.5343018	2820
75TX	Brackettville	United States	Texas	Leona Ranch Airport	small_airport	-100.3732400	29.5096830	1720
76TA	Adrian	United States	Texas	Canadian River Ranch Airport	small_airport	-102.8076050	35.4026750	3839
77XS	Danbury	United States	Texas	Garrett Ranch Airport	small_airport	-95.3597031	29.2872009	30
7B3	Hampton	United States	New Hampshire	Hampton Airfield	small_airport	-70.8303110	42.9613820	93
7CA2	Bakersfield	United States	California	Paradise Lakes Airport	small_airport	-118.9270020	35.1767006	340
7CO0	Erie	United States	Colorado	Parkland Airport	small_airport	-105.0339966	40.0717010	5050
7FL6	Daytona Beach	United States	Florida	Spruce Creek Airport	small_airport	-81.0466995	29.0802002	24
7IN8	Warsaw	NULL	NULL	Dewart Lake Seaplane Base	seaplane_base	-85.7727780	41.3719460	865
7NC2	Corolla	United States	North Carolina	Pine Island Airport	small_airport	-75.7852560	36.2527440	16
7PA3	Honesdale	United States	Pennsylvania	Charles G. Kalko Airport	small_airport	-75.2878720	41.7080530	1400
7S3	Hillsboro	United States	Oregon	Stark's Twin Oaks Airpark	small_airport	-122.9420013	45.4285011	170
7TE2	Falfurrias	United States	Texas	Cage Ranch Airport	small_airport	-98.2058029	27.1058998	148
7TE6	El Campo	United States	Texas	Stovall Ranch Nr 1 Airport	small_airport	-96.5543976	29.2003002	108
7TE7	Edinburg	United States	Texas	Moore Field	small_airport	-98.3336030	26.3836990	219
7TN5	Hickory Valley	NULL	NULL	Flying D Airport	small_airport	-89.1868060	35.1338060	477
7TX0	Wichita Falls	United States	Texas	Tom Danaher Airport	small_airport	-98.5727005	33.8282013	986
82IS	Huntley	NULL	NULL	Landings Condominium Airport	small_airport	-88.4029007	42.1431007	880
83TX	Bryan	United States	Texas	Texas A And M Flight Test Station Airport	small_airport	-96.4835968	30.6334991	264
85TX	Buda	United States	Texas	Rutherford Ranch Airport	small_airport	-97.9655991	30.0776997	983
87MO	East Lynne	United States	Missouri	Richters Airport	small_airport	-94.2580032	38.6960983	915
89NY	Alexandria Bay	NULL	NULL	Maxson Airfield	small_airport	-75.9003400	44.3120020	340
89TS	Oakwood	NULL	NULL	Carter Ranch Airport	small_airport	-95.7666016	31.5667992	215
8CA8	Lodi	United States	California	Wallom Field	small_airport	-121.2080002	38.0674019	56
8TA0	Floresville	United States	Texas	John B Connally Ranch Airport	small_airport	-98.2763977	29.1357994	530
8TS9	Encinal	NULL	NULL	Strait Ranch Airport	small_airport	-99.5665840	28.1406940	620
8XS8	Lubbock	United States	Texas	Reese Airpark	small_airport	-102.0370026	33.5903015	3338
91TS	Rosharon	United States	Texas	Songbird Ranch Airport	small_airport	-95.3398972	29.3686008	34
91TX	Calliham	United States	Texas	Paisano Ranch Airport	small_airport	-98.3628006	28.3969002	235
92CA	Stratford	United States	California	Westlake Farms Airport	small_airport	-119.8880005	36.1208000	192
92XS	Raymondville	United States	Texas	T R Funk Inc Airport	small_airport	-97.6867340	26.4791760	24
94TX	Brady	United States	Texas	River Bend Ranch Airport	small_airport	-99.3155975	31.4377003	1500
95TX	Carrizo Springs	United States	Texas	Chupadera Ranch Airport	small_airport	-100.0719986	28.1924992	651
97FL	Weirsdale	United States	Florida	Love Field	small_airport	-81.8915024	28.9619007	80
99CL	El Mirage	United States	California	El Mirage Field Adelanto Airport	small_airport	-117.6007020	34.6243800	2865
9CA7	Sanger	United States	California	Harris River Ranch Airport	small_airport	-119.4359970	36.7672005	450
9CL2	Hollister	United States	California	Christensen Ranch Airport	small_airport	-121.3369980	36.8716011	380
9NC0	Knightdale	NULL	NULL	Raleigh East Airport	small_airport	-78.4369960	35.7976990	313
9OI5	East Liberty	United States	Ohio	Transportation Research Center of Ohio Airport	small_airport	-83.5417023	40.3081017	1100
9SD9	Dell Rapids	United States	South Dakota	Weelborg Airport	small_airport	-96.7089005	43.8065987	1553
9TE2	Sonora	NULL	NULL	JL Bar Ranch	small_airport	-100.4444620	30.5687310	2344
9TX5	San Antonio	NULL	NULL	Camp Bullis ALS Airport	small_airport	-98.5372010	29.7446990	1158
AF-0020	Andkhoy	NULL	NULL	Andkhoy Airport	small_airport	65.2067460	36.9426590	900
AGGH	Honiara	NULL	NULL	Honiara International Airport	large_airport	160.0549930	-9.4280000	28
AGGM	Munda	Solomon Islands	Western	Munda Airport	medium_airport	157.2630000	-8.3279700	10
AL-0013	Gjadër	NULL	NULL	Gjadër Air Base	closed	19.5987000	41.8951990	23
AL12	Montgomery	United States	Alabama	Kershaw Airport	small_airport	-86.1250000	32.3585014	225
ANYN	Yaren District	Nauru	Yaren	Nauru International Airport	medium_airport	166.9190060	-0.5474580	22
AQ-0013	McMurdo Station	NULL	NULL	McMurdo Station Ice Runway	closed	166.4643870	-77.8543910	1
AQ-0014	McMurdo Station	NULL	NULL	McMurdo Station Pegasus Field	closed	166.5249940	-77.9634020	18
AR-0009	Charata	NULL	NULL	Charata Airport	small_airport	-61.2103000	-27.2164000	318
AR-0035	Allen	NULL	NULL	Allen Airport	small_airport	-67.8035965	-38.9580994	951
AR-0038	Rosario	NULL	NULL	Alvear Airpark	small_airport	-60.5969000	-33.0467000	85
AR-0079	Cañuelas	NULL	NULL	Cañuelas Airport	small_airport	-58.7261000	-35.1119000	98
AR-0137	Florencio Varela	NULL	NULL	El Pajaro Airport	small_airport	-58.3163070	-34.8235370	52
AR-0158	Ezpeleta	NULL	NULL	Ezpeleta Airport	small_airport	-58.2033000	-34.7464000	9
AR-0305	Rosario	NULL	NULL	Pueblo Esther Airport	small_airport	-60.5647000	-33.0817000	82
AR-0399	General Rodriguez	NULL	NULL	General Rodriguez Ildefonso Durana Airport	small_airport	-59.0358000	-34.6803000	91
AR-0736	Ushuaia	NULL	NULL	Ushuaia Aeroclub Airport	small_airport	-68.3043000	-54.8227000	19
AR-0743	Junin	NULL	NULL	Junin Airport	closed	-60.9304870	-34.5463590	262
AR-0744	Gobernador Gordillo	NULL	NULL	Chamical Airport	closed	-66.2936020	-30.3453007	1502
AR-0748	San Justo	NULL	NULL	San Justo Airport	closed	-58.5955640	-34.7323720	62
AU-0005		NULL	NULL	Myrup fly in estate Airport	small_airport	121.9568470	-33.7892720	30
AU-0014	Abrolhos	NULL	NULL	Abrolhos East Wallabi Island Airport	small_airport	113.7355833	-28.4378500	NULL
AU-0018		NULL	NULL	Preston Field - Blair Howe	small_airport	115.7022040	-33.0220770	20
AU-0038		NULL	NULL	Abrolhos North Island	small_airport	113.5958000	-28.2998167	1
AU-0044		NULL	NULL	Trawalla Airport	small_airport	143.4589577	-37.4387474	900
AU-0045		NULL	NULL	Pomonal Airstrip	small_airport	142.6765170	-37.2310770	NULL
AU-0050	Morphett Vale	NULL	NULL	Huntfield Airfield	small_airport	138.4936094	-35.1725455	NULL
AU-0054	Delatite	NULL	NULL	Delatite Airstrip	small_airport	146.1594310	-37.1450530	1164
AU-0060		NULL	NULL	Miralwyn Airport	small_airport	147.3270000	-30.1490000	NULL
AU-0220		NULL	NULL	Geelong Airport	closed	144.3329930	-38.2249980	43
AU-0221		NULL	NULL	Grovedale Airport	closed	144.3329930	-38.2167020	NULL
AU-0225	Wilmington	NULL	NULL	WILMINGTON RESIDENTIAL AIRPARK	small_airport	138.1071570	-32.6353090	1080
AU-0251	Cataract	NULL	NULL	Cataract Dam Heliport	heliport	150.8062520	-34.2554380	1234
AU-0324	Bridport	NULL	NULL	Lost Farm Golf Course (Barnbougle)	small_airport	147.4873060	-40.9987020	40
AU-0351	Raglan	NULL	NULL	Old Station Airfield	small_airport	150.8181340	-23.8174250	122
AU-0428		NULL	NULL	Tuncurry Airport	closed	152.4830020	-32.1500020	NULL
AU-0429		NULL	NULL	Breeza Airport	closed	150.5167000	-31.3167000	NULL
AU-0430		NULL	NULL	Greenthorpe Airport	closed	148.4170070	-33.9832990	NULL
AU-0627	Cranbourne	NULL	NULL	Cranborne Airfield	small_airport	147.0147940	-41.1611610	300
AU-0664		NULL	NULL	Hoxton Park Airport	closed	150.8520050	-33.9096985	135
AU-0665	Berwick	NULL	NULL	Berwick Airport	closed	145.3360319	-38.0397769	NULL
AU-0666		NULL	NULL	Bindook NDB	closed	150.1000060	-34.1666980	NULL
AU-0671		NULL	NULL	Meredith Airport	closed	144.0829926	-37.8833008	NULL
AU-0672		NULL	NULL	Elderslie Airport	closed	145.1000000	-15.7000000	NULL
AU-0673	Gatton	NULL	NULL	Gatton Campus Airport	closed	152.3404598	-27.5604061	NULL
AU-0677		NULL	NULL	Cooranbong Airport	closed	151.4618969	-33.0601117	NULL
AU-0678	Pakenham	NULL	NULL	Pakenham Airport	closed	145.4808710	-38.0884210	NULL
AU-0679		NULL	NULL	Wallan Airport	closed	144.9880066	-37.4333000	290
AU-0680		NULL	NULL	Wedderburn Airport	closed	143.4875600	-36.4305000	NULL
AU-0681	Wickham	NULL	NULL	Wickham Airport	closed	117.1250725	-20.6757924	NULL
AU-0685		NULL	NULL	Winderadeen ALA	closed	149.4100040	-34.9389000	2274
AU-0686	Cowaramup	NULL	NULL	Butch Airport	closed	115.1006700	-33.8072510	NULL
AU-0687	Aurukun	NULL	NULL	Kencherang Airport	closed	141.5904170	-13.8465940	NULL
AU-0688		NULL	NULL	Lake Pedder Airport	closed	146.3329926	-43.0499992	NULL
AU-0689	Ghan	NULL	NULL	Mount Cavenagh Airport	closed	133.2085420	-25.9639290	1752
AU-0690	Newhaven	NULL	NULL	Newhaven Airport	closed	145.3275780	-38.5246670	46
AU-0691	Sale	NULL	NULL	Sale Airport	closed	147.0749970	-38.1166990	NULL
AU-0692		NULL	NULL	Wodgina Airport	closed	118.6920010	-21.1417010	NULL
AU-0693		NULL	NULL	Yandicoogina Airport	closed	119.2269970	-22.7597010	NULL
AU-0703	Isisford	NULL	NULL	Navarra Airport	small_airport	143.6695380	-24.8541780	670
AYBK	Buka Island	Papua New Guinea	Bougainville (North Solomons)	Buka Airport	medium_airport	154.6730042	-5.4223199	11
AYDU	Daru	Papua New Guinea	Western (Fly River)	Daru Airport	medium_airport	143.2079930	-9.0867600	20
AYGA	Goronka	Papua New Guinea	Eastern Highlands	Goroka Airport	medium_airport	145.3919983	-6.0816898	5282
AYGN	Gurney	Papua New Guinea	Milne Bay	Gurney Airport	medium_airport	150.3339996	-10.3114996	88
AYHK	Kimbe	Papua New Guinea	West New Britain	Hoskins Airport	medium_airport	150.4073270	-5.4638460	66
AYKM	Kerema	Papua New Guinea	Gulf	Kerema Airport	medium_airport	145.7709961	-7.9636102	10
AYKV	Kavieng	Papua New Guinea	New Ireland	Kavieng Airport	medium_airport	150.8079987	-2.5794001	7
AYMD	Madang	Papua New Guinea	Madang	Madang Airport	medium_airport	145.7890015	-5.2070799	20
AYMH	Mount Hagen	NULL	NULL	Mount Hagen Kagamuga Airport	medium_airport	144.2994120	-5.8282120	5388
AYMO	Manus Island	Papua New Guinea	Manus	Momote Airport	medium_airport	147.4239960	-2.0618900	12
AYNZ	Lae	Papua New Guinea	Morobe	Nadzab Airport	medium_airport	146.7259770	-6.5698030	239
AYPY	Port Moresby	Papua New Guinea	National Capital District (Port Moresby)	Port Moresby Jacksons International Airport	large_airport	147.2200012	-9.4433804	146
AYTK	Kokopo	Papua New Guinea	East New Britain	Tokua Airport	medium_airport	152.3800050	-4.3404600	49
AYVN	Vanimo	Papua New Guinea	Sandaun (West Sepik)	Vanimo Airport	medium_airport	141.3028000	-2.6926000	10
AYWK	Wewak	NULL	NULL	Wewak International Airport	medium_airport	143.6690063	-3.5838301	19
AZ82	Overgaard	NULL	NULL	Mogollon Airpark	small_airport	-110.5295530	34.3992970	6657
BA-0001	Bašigovci	NULL	NULL	Ciljuge Sport Airfield	small_airport	18.6864570	44.4360940	725
BGBW	Narsarsuaq	Greenland	(unassigned)	Narsarsuaq Airport	medium_airport	-45.4259990	61.1605000	112
BGCO	Neerlerit Inaat	Greenland	(unassigned)	Neerlerit Inaat Airport	small_airport	-22.6504990	70.7431030	45
BGGH	Nuuk	Greenland	(unassigned)	Nuuk Airport	medium_airport	-51.6765120	64.1930220	283
BGNN	Nanortalik	NULL	NULL	Nanortalik Heliport	heliport	-45.2329770	60.1418840	17
BGNO	Station Nord	Greenland	(unassigned)	Station Nord Heliport	heliport	-17.8088380	81.6978440	NULL
BGNS	Narsaq	Greenland	(unassigned)	Narsaq Heliport	heliport	-46.0599230	60.9172830	83
BGQQ	Qaanaaq	Greenland	(unassigned)	Qaanaaq Airport	small_airport	-69.3887020	77.4886020	51
BGSF	Kangerlussuaq	Greenland	(unassigned)	Kangerlussuaq Airport	medium_airport	-50.7152940	67.0104460	165
BGSS	Sisimiut	Greenland	(unassigned)	Sisimiut Airport	medium_airport	-53.7293010	66.9513020	33
BGTL	Pituffik	Greenland	(unassigned)	Pituffik Space Base	medium_airport	-68.7032010	76.5311970	251
BGUK	Upernavik	Greenland	(unassigned)	Upernavik Airport	small_airport	-56.1306000	72.7901990	414
BIAR	Akureyri	Iceland	Northeastern Region (Iceland)	Akureyri Airport	medium_airport	-18.0720180	65.6565730	6
BIBD	Bildudalur	Iceland	Westfjords	Bildudalur Airport	small_airport	-23.5462000	65.6412960	18
BIEG	Egilsstaðir	Iceland	Eastern Region (Iceland)	Egilsstaðir Airport	medium_airport	-14.4013996	65.2833023	76
BIHN	Höfn	Iceland	Southern Region	Hornafjörður Airport	medium_airport	-15.2272000	64.2956010	24
BIHU	Húsavík	Iceland	Northeastern Region	Húsavík Airport	medium_airport	-17.4260010	65.9523010	48
BIIS	Ísafjörður	NULL	NULL	Ísafjörður Airport	medium_airport	-23.1353000	66.0580980	8
BIKF	Reykjavík	Iceland	Southern Peninsula	Keflavik International Airport	large_airport	-22.6056000	63.9850010	171
BIMS	Tungubakkar	Iceland	Capital Region	Tungubakkar Airport	small_airport	-21.7077999	64.1810989	5
BIPA	Patreksfjörður	Iceland	Westfjords	Patreksfjörður Airport	small_airport	-23.9650000	65.5558010	11
BIRK	Reykjavik	Iceland	Capital Region	Reykjavik Airport	medium_airport	-21.9405994	64.1299973	48
BISA	Sandá	Iceland	Eastern Region	Sandá Airport	small_airport	-19.6630993	65.1343994	1580
BISI	Siglufjörður	Iceland	Northeastern Region	Siglufjörður Airport	medium_airport	-18.9081570	66.1378470	10
BISS	Sandskeið	Iceland	Capital Region	Sandskeið Airport	small_airport	-21.5746994	64.0607986	600
BITN	Þórshöfn	NULL	NULL	Þórshöfn Airport	small_airport	-15.3356000	66.2184980	65
BIVM	Vestmannaeyjar	Iceland	Southern Region	Vestmannaeyjar Airport	medium_airport	-20.2789001	63.4243011	326
BKPR	Prishtina	Kosovo	Pristina District	Priština Adem Jashari International Airport	medium_airport	21.0358010	42.5728000	1789
BR-1941	Rosana	NULL	NULL	Usina Porto Primavera Airport	closed	-52.9721985	-22.5256004	1067
BR-1959	São José da Barra	NULL	NULL	Furnas Airport	closed	-46.3353000	-20.7028010	2413
BR-1960	Belém	NULL	NULL	Belém/Brigadeiro Protásio de Oliveira Airport	closed	-48.4598050	-1.4150510	52
BR-1961	Vitória da Conquista	NULL	NULL	Pedro Otacílio Figueiredo Airport	closed	-40.8631860	-14.8625670	3002
BR-1962	Castilho	NULL	NULL	Urubupunga Airport	closed	-51.5648000	-20.7771000	1169
BS-0018	George Town	NULL	NULL	George Town Airport	closed	-75.7817000	23.4667000	5
BY-9935	Minsk	NULL	NULL	Minsk 1 Airport	closed	27.5397000	53.8644980	NULL
CA-0084		NULL	NULL	Casey (Camp de Base) Airport	small_airport	-74.0906370	47.9375460	1291
CA-0088	Ottawa	NULL	NULL	Navan Bearbrook Airport	small_airport	-75.2969437	45.3916664	210
CA-0118	Picton	NULL	NULL	Greenbush Airport	small_airport	-77.0735000	44.0011000	436
CA-0159	Pontiac	NULL	NULL	Pontiac Airpark	closed	-76.1688350	45.5279980	216
CA-0304	Clearwater	NULL	NULL	Ram Falls Airstrip	small_airport	-115.8560920	52.0868130	5350
CA-0307	Clarington	NULL	NULL	Orono / Hawkefield Aerodrome	small_airport	-78.6488000	44.0000000	620
CA-0380	Tottenham	NULL	NULL	Tottenham/Ronan Aerodrome	small_airport	-79.8466800	44.0421010	823
CA-0393	Upper Kent	NULL	NULL	Upper Kent Airport	small_airport	-67.7195550	46.5871330	246
CA-0430	Port Hope	NULL	NULL	Port Hope (Peter's Field) Airport	small_airport	-78.4269760	44.0248810	560
CA-0444		NULL	NULL	Beaverton Airport	small_airport	-79.1001070	44.4474730	820
